Root rootrank
Mzabimycetaceae family
Mycobacteriaceae family
Mycolicibacillus genus
Corynebacteriales order
Bacteria superkingdom
Mycolicibacter genus
Mycolicibacterium genus
Mycobacterium genus
Actinobacteria phylum
Dermabacteraceae family
Burkholderiaceae family
Lachnospiraceae family
Peptococcaceae family
Kerstersia genus
Mesoplasma genus
Streptosporangiales order
Micrococcaceae family
Brachyspira genus
Saccharothrix genus
Proteobacteria phylum
Vibrio genus
Streptococcus genus
Chondromyces genus
Veillonellaceae family
Pseudonocardiales order
Dialister genus
Pseudoalteromonas genus
Cyclobacteriaceae family
Carboxydocella genus
Arthrobacter genus
Marinobacter genus
Staphylococcaceae family
Bacteroidetes phylum
Cystobacter genus
Oceanospirillales order
Thermomonosporaceae family
Leptotrichia genus
Entomoplasmataceae family
Myxococcales order
Mollicutes class
Garciella genus
Streptomyces genus
Comamonadaceae family
Entomoplasmatales order
Hahellaceae family
Brachyspiraceae family
Betaproteobacteria class
Burkholderiales order
Salinicoccus genus
Leuconostocaceae family
Desulfofundulus genus
Nocardioidaceae family
Bacillales order
Pseudonocardiaceae family
Deltaproteobacteria class
Aequorivita genus
Nocardiopsis genus
Schlegelella genus
Flavobacteriales order
Bradyrhizobiaceae family
Lactobacillales order
Streptococcaceae family
Achromobacter genus
Tepidibacter genus
Aeromicrobium genus
Pseudoflavonifractor genus
Amycolatopsis genus
Aquiflexum genus
Vibrionaceae family
Tenericutes phylum
Veillonellales order
Polyangiaceae family
Rhizobiales order
Vagococcus genus
Alcaligenaceae family
Klebsiella genus
Peptostreptococcaceae family
Leisingera genus
Lentibacillus genus
Anaerobacillus genus
Sulfitobacter genus
Alteromonadaceae family
Clostridia class
Afipia genus
Bacillaceae family
Streptomycetaceae family
Enterobacterales order
Anoxybacillus genus
Methylobacterium genus
Fusobacteria phylum
Alphaproteobacteria class
Micrococcales order
Entomoplasma genus
Cytophagia class
Rhodobacterales order
Negativicutes class
Leptotrichiaceae family
Enterobacteriaceae family
Fusobacteriales order
Rhodobacteraceae family
Spirochaetes phylum
Firmicutes phylum
Archangiaceae family
Brachybacterium genus
Paraburkholderia genus
Jeotgalicoccus genus
Paenibacillus genus
Vibrionales order
Eubacteriaceae family
Methylobacteriaceae family
Sorangiineae suborder
Brachyspirales order
Actinomadura genus
Pseudoalteromonadaceae family
Gammaproteobacteria class
Cystobacterineae suborder
Flavobacteriaceae family
Enterococcaceae family
Anaerotignum genus
Flavobacteriia class
Propionibacteriales order
Alteromonadales order
Escherichia genus
Cytophagales order
Zooshikella genus
Weissella genus
Streptomycetales order
Nocardiopsaceae family
Bacilli class
Clostridiales order
Paenibacillaceae family
Acholeplasmatales order
Moraxellaceae family
Methylobacillus genus
Herbidospora genus
Aeromonadales order
Chromatiales order
Spiroplasma genus
Frankiales order
Thiomonas genus
Tissierellia class
Rikenellaceae family
Methylophilaceae family
Shewanellaceae family
Rhodoferax genus
Hydrogenobaculum genus
Spirilliplanes genus
Ralstonia genus
Microbulbiferaceae family
Tissierellales order
Aeromonas genus
Rhodothalassiaceae family
Brevibacterium genus
Acetivibrio genus
Colwelliaceae family
Geobacter genus
Cryptosporangium genus
Ahrensia genus
Thermotogaceae family
Thiotrichales order
Cycloclasticus genus
Cardiobacteriaceae family
Veillonella genus
Bizionia genus
Rhodocyclales order
Pseudothermotoga genus
Deinococcus-Thermus phylum
Colwellia genus
Syntrophobacterales order
Gramella genus
Pseudomonas genus
Thermotogae phylum
Desulfuromonadaceae family
Roseivirga genus
Spiroplasmataceae family
Rikenella genus
Xanthomonadales order
Idiomarina genus
Sphingorhabdus genus
Geodermatophilaceae family
Deinococci class
Sphingomonadaceae family
Paracoccus genus
Planococcaceae family
Thermodesulforhabdus genus
Salegentibacter genus
Starkeya genus
Pibocella genus
Borreliella genus
Thermotogales order
Bacteroidales order
Ehrlichia genus
Aquicella genus
Idiomarinaceae family
Alicyclobacillus genus
Glycomycetaceae family
Pasteurellales order
Piscirickettsiaceae family
Halomonadaceae family
Thermoanaerobacteraceae family
Algibacter genus
Carnobacteriaceae family
Desulfobacterales order
Alteromonas genus
Ureaplasma genus
Arenibacter genus
Thermaceae family
Rubrivivax genus
Rhodospirillum genus
Bartonella genus
Anaplasmataceae family
Cytophagaceae family
Volucribacter genus
Nocardiaceae family
Erythrobacteraceae family
Microbacteriaceae family
Cellvibrionales order
Flammeovirgaceae family
Desulfatibacillum genus
Phaeospirillum genus
Lactobacillus genus
Borreliaceae family
Porphyromonadaceae family
Clavibacter genus
Micromonosporales order
Geobacteraceae family
Rhodobiaceae family
Ruminococcaceae family
Spirochaetales order
Coxiellaceae family
Pseudomonadales order
Desulfovibrionales order
Pseudobacteroides genus
Desulfobacteraceae family
Aerococcaceae family
Halobacillus genus
Blastococcus genus
Rhodocyclus genus
Mycoplasmataceae family
Alicyclobacillaceae family
Streptosporangiaceae family
Campylobacter genus
Cardiobacteriales order
Acholeplasmataceae family
Vitreoscilla genus
Gillisia genus
Kocuria genus
Ruminococcus genus
Thermus genus
Planomicrobium genus
Rickettsiales order
Rhodovulum genus
Legionellales order
Thiomicrospira genus
Rhodothalassiales order
Aestuariibacter genus
Pseudomonadaceae family
Sphingomonadales order
Gemella genus
Thermoanaerobacterales order
Bradyrhizobium genus
Porphyromonas genus
Nitrosomonadales order
Brachymonas genus
Photobacterium genus
Xenorhabdus genus
Microbulbifer genus
Glycomycetales order
Glycomyces genus
Polaromonas genus
Rhodospirillales order
Mesorhizobium genus
Heliobacterium genus
Afifella genus
Nocardioides genus
Silanimonas genus
Aquificae phylum
Bartonellaceae family
Janibacter genus
Rhodocyclaceae family
Agromyces genus
Epsilonproteobacteria class
Neisseriales order
Kingella genus
Winogradskyella genus
Geodermatophilales order
Algoriphagus genus
Micromonosporaceae family
Erythrobacter genus
Kangiella genus
Lactobacillaceae family
Bordetella genus
Oxalobacteraceae family
Bacteroidia class
Rickettsieae tribe
Bacillus genus
Pasteurellaceae family
Rhodothalassium genus
Acetobacteraceae family
Psychrobacter genus
Salinimonas genus
Aeromonadaceae family
Tissierellaceae family
Porphyrobacter genus
Syntrophobacteraceae family
Helicobacteraceae family
Tepidimonas genus
Pseudoduganella genus
Leptothrix genus
Maribacter genus
Cardiobacterium genus
Jeotgalibacillus genus
Halomonas genus
Cytophaga genus
Intrasporangiaceae family
Xanthomonadaceae family
Aquimarina genus
Tetragenococcus genus
Heliobacteriaceae family
Arcobacter genus
Aquificaceae family
Rickettsia genus
Morganellaceae family
Rhizobiaceae family
Wolinella genus
Thermoanaerobacter genus
Kangiellaceae family
Neorhizobium genus
Staphylococcus genus
Polaribacter genus
Campylobacterales order
Soehngenia genus
Campylobacteraceae family
Guyparkeria genus
Pontibacillus genus
Acidiphilium genus
Acidocella genus
Chromohalobacter genus
Citricoccus genus
Ulvibacter genus
Phyllobacteriaceae family
Thermales order
Shewanella genus
Thioalkalibacteraceae family
Rhodospirillaceae family
Aquificales order
Desulfofaba genus
Acholeplasma genus
Desulfovibrio genus
Halodesulfovibrio genus
Desulfuromonas genus
Borrelia genus
Cryptosporangiaceae family
Nocardia genus
Chryseobacterium genus
Abiotrophia genus
Rickettsiaceae family
Helicobacter genus
Brevibacteriaceae family
Butyrivibrio genus
Rhodococcus genus
Mycoplasma genus
Desulfovibrionaceae family
Neisseria genus
Xanthobacteraceae family
Carnobacterium genus
Kitasatospora genus
Flavobacterium genus
Alistipes genus
Novosphingobium genus
Orientia genus
Roseibium genus
Neisseriaceae family
Desulfuromonadales order
Caulobacterales order
Deinococcus genus
Formivibrio genus
Mogibacterium genus
Brevibacillus genus
Promicromonosporaceae family
Caloramator genus
Propionibacteriaceae family
Alkalispirochaeta genus
Thermosyntropha genus
Listeria genus
Syntrophomonadaceae family
Thermodesulfobiaceae family
Syntrophobacter genus
Verrucomicrobia phylum
Kytococcus genus
Chlamydia genus
Succinimonas genus
Desulfonatronovibrio genus
Xanthobacter genus
Tolumonas genus
Corynebacterium genus
Sporolactobacillaceae family
Atopobium genus
Sagittula genus
Dickeya genus
Pseudospirillum genus
Desulfomicrobium genus
Coprothermobacter genus
Beijerinckiaceae family
Aeribacillus genus
Paucimonas genus
Dolosigranulum genus
Salimicrobium genus
Peptoniphilaceae family
Planomonospora genus
Meiothermus genus
Halanaerobiaceae family
Erwinia genus
Desulfomicrobiaceae family
Fervidobacteriaceae family
Coriobacteriales order
Curvibacter genus
Hymenobacter genus
Umezawaea genus
Hydrogenobacter genus
Gluconacetobacter genus
Magnetospirillum genus
Desulfohalobiaceae family
Sporomusa genus
Chlamydiaceae family
Orenia genus
Coriobacteriaceae family
Psychromonas genus
Verrucomicrobiae class
Clostridium genus
Komagataeibacter genus
Phascolarctobacterium genus
Lentzea genus
Granulicatella genus
Pectobacterium genus
Thermoanaerobacterium genus
Desulfonema genus
Brenneria genus
Thermocrispum genus
Methylococcales order
Williamsiaceae family
Amaricoccus genus
Prevotella genus
Micropruina genus
Janthinobacterium genus
Thermonemataceae family
Microbispora genus
Micromonospora genus
Dietziaceae family
Shigella genus
Halospirulina genus
Nitrospiraceae family
Desulfurella genus
Actinomyces genus
Marinococcus genus
Pantoea genus
Desulfosporosinus genus
Dietzia genus
Oceanobacter genus
Caldicellulosiruptor genus
Ornithinicoccus genus
Methylocella genus
Halanaerobiales order
Sporomusaceae family
Catenuloplanes genus
Ruminiclostridium genus
Acidaminococcales order
Psychromonadaceae family
Roseococcus genus
Sinomonas genus
Actinomycetaceae family
Dehalobacter genus
Oceanospirillum genus
Dysgonomonas genus
Marmoricola genus
Thauera genus
